title,description,location,gallery,price,tags,category,time,duration
Blockchain and Crypto Workshop,Understand blockchain technology and cryptocurrency investment. Expert speakers and panel discussion.,"{""address"": ""Nailab - Bishop Magua Centre"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Nailab Innovation Hub"", ""latitude"": -1.3019, ""longitude"": 36.7832}","{""https://images.unsplash.com/photo-1639762681485-074b7f938ba0"",""https://images.unsplash.com/photo-1621761191319-c6fb62004040""}",0.028,"{""crypto"",""blockchain"",""fintech"",""technology"",""workshop""}",Technology,2025-11-30T13:00:00Z,240
Salsa Dancing Classes,Learn salsa dancing from beginner to intermediate level. No partner required. Fun and energetic atmosphere.,"{""address"": ""Alliance Francaise"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Alliance Française de Nairobi"", ""latitude"": -1.2893, ""longitude"": 36.8175}","{""https://images.unsplash.com/photo-1504609773096-104ff2c73ba4"",""https://images.unsplash.com/photo-1508807526345-15e9b5f4eaff""}",0.012,"{""dance"",""salsa"",""social"",""fitness"",""lessons""}",Arts & Culture,2025-11-14T18:00:00Z,90
Book Club Meeting: African Literature,Monthly book club discussing contemporary African authors. Coffee and snacks provided.,"{""address"": ""Java House - Yaya Centre"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Yaya Centre"", ""latitude"": -1.2831, ""longitude"": 36.7918}","{""https://images.unsplash.com/photo-1524995997946-a1c2e315a42f"",""https://images.unsplash.com/photo-1481627834876-b7833e8f5570""}",0.05,"{""books"",""literature"",""reading"",""social"",""culture""}",Education & Learning,2025-11-16T15:00:00Z,120
Networking Breakfast for Professionals,Connect with business professionals over breakfast. Speed networking and keynote speaker.,"{""address"": ""Radisson Blu Hotel"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Radisson Blu Upper Hill"", ""latitude"": -1.2939, ""longitude"": 36.814}","{""https://images.unsplash.com/photo-1511578314322-379afb476865"",""https://images.unsplash.com/photo-1505373877841-8d25f7d46678""}",0.015,"{""networking"",""business"",""breakfast"",""professional"",""career""}",Business & Professional,2025-11-21T07:30:00Z,150
Pottery Making Workshop,Hands-on pottery class for beginners. Create your own ceramic pieces to take home.,"{""address"": ""Kitengela Glass"", ""city"": ""Kitengela"", ""country"": ""Kenya"", ""title"": ""Kitengela Glass Studio"", ""latitude"": -1.4667, ""longitude"": 36.95}","{""https://images.unsplash.com/photo-1565193566173-7a0ee3dbe261"",""https://images.unsplash.com/photo-1578749556568-bc2c40e68b61""}",0.02,"{""pottery"",""art"",""craft"",""workshop"",""creative""}",Arts & Culture,2025-12-08T10:00:00Z,180
Rock Climbing Experience,Indoor rock climbing for all skill levels. Equipment provided. Professional instructors on site.,"{""address"": ""Climb Nai - Industrial Area"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Climb Nai Rock Gym"", ""latitude"": -1.3237, ""longitude"": 36.8502}","{""https://images.unsplash.com/photo-1522163182402-834f871fd851"",""https://images.unsplash.com/photo-1564769625905-50e93615e769""}",0.018,"{""climbing"",""adventure"",""fitness"",""indoor"",""sports""}",Sports & Fitness,2025-11-19T14:00:00Z,120
Sustainable Living Workshop,Learn about eco-friendly practices urban farming and waste reduction. Practical tips for sustainable living.,"{""address"": ""Nairobi Arboretum"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Nairobi Arboretum"", ""latitude"": -1.278, ""longitude"": 36.8057}","{""https://images.unsplash.com/photo-1542601906990-b4d3fb778b09"",""https://images.unsplash.com/photo-1466692476868-aef1dfb1e735""}",0.01,"{""sustainability"",""environment"",""workshop"",""green"",""ecology""}",Education & Learning,2025-12-12T09:00:00Z,180
Afrobeat Concert Night,Live Afrobeat music featuring top African artists. Dance party atmosphere with authentic rhythms.,"{""address"": ""Simba Lounge - Westlands"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Simba Lounge Westlands"", ""latitude"": -1.2676, ""longitude"": 36.8065}","{""https://images.unsplash.com/photo-1501612780327-45045538702b"",""https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f""}",0.03,"{""afrobeat"",""concert"",""music"",""dance"",""nightlife""}",Music,2025-11-23T20:00:00Z,240
Mindfulness and Stress Management,Workshop on mindfulness techniques meditation and stress reduction strategies for busy professionals.,"{""address"": ""The Hub Karen"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""The Hub Karen"", ""latitude"": -1.3223, ""longitude"": 36.7088}","{""https://images.unsplash.com/photo-1506126613408-eca07ce68773"",""https://images.unsplash.com/photo-1593811167562-9cef47bfc4d7""}",0.015,"{""mindfulness"",""wellness"",""mental-health"",""stress"",""meditation""}",Health & Wellness,2025-11-27T17:00:00Z,120
Gaming Tournament: FIFA 25,Competitive FIFA gaming tournament with cash prizes. Open to all skill levels. Registration required.,"{""address"": ""Nairobi Gaming Lounge"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Westlands Gaming Hub"", ""latitude"": -1.2656, ""longitude"": 36.8093}","{""https://images.unsplash.com/photo-1542751371-adc38448a05e"",""https://images.unsplash.com/photo-1538481199705-c710c4e965fc""}",0.01,"{""gaming"",""esports"",""tournament"",""competition"",""entertainment""}",Entertainment,2025-12-14T13:00:00Z,300
Organic Farmers Market,Fresh organic produce local honey artisan breads and more. Support sustainable farming.,"{""address"": ""Rosslyn Academy"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Rosslyn Riviera Mall"", ""latitude"": -1.2026, ""longitude"": 36.8088}","{""https://images.unsplash.com/photo-1488459716781-31db52582fe9"",""https://images.unsplash.com/photo-1542838132-92c53300491e""}",0.03,"{""market"",""organic"",""food"",""local"",""sustainable""}",Shopping & Markets,2025-11-09T08:00:00Z,240
Hip Hop Dance Workshop,Learn hip hop choreography from award-winning dancers. All levels welcome. Wear comfortable clothes.,"{""address"": ""Sarakasi Dome"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Sarakasi Trust Ngara"", ""latitude"": -1.2736, ""longitude"": 36.8298}","{""https://images.unsplash.com/photo-1508807526345-15e9b5f4eaff"",""https://images.unsplash.com/photo-1535525153412-5a42439a210d""}",0.015,"{""dance"",""hiphop"",""workshop"",""fitness"",""urban""}",Arts & Culture,2025-11-24T16:00:00Z,120
Career Mentorship Session,One-on-one career guidance and mentorship from industry professionals. Resume reviews and interview tips.,"{""address"": ""Co-Creation Hub Nairobi"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""CcHub Nairobi"", ""latitude"": -1.3015, ""longitude"": 36.7849}","{""https://images.unsplash.com/photo-1521737711867-e3b97375f902"",""https://images.unsplash.com/photo-1454165804606-c3d57bc86b40""}",0,"{""mentorship"",""career"",""professional"",""guidance"",""free""}",Business & Professional,2025-12-06T10:00:00Z,90
Cocktail Making Masterclass,Learn to craft signature cocktails from expert mixologists. Hands-on experience and tasting session.,"{""address"": ""Skylux Lounge"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Skylux Westlands"", ""latitude"": -1.2668, ""longitude"": 36.8071}","{""https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b"",""https://images.unsplash.com/photo-1551024601-bec78aea704b""}",0.035,"{""cocktails"",""mixology"",""drinks"",""workshop"",""nightlife""}",Food & Drink,2025-12-16T18:00:00Z,150
Digital Marketing Bootcamp,Intensive training on social media marketing SEO and content strategy. Certificate upon completion.,"{""address"": ""Nairobi Garage"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Nairobi Garage Hurlingham"", ""latitude"": -1.2908, ""longitude"": 36.7808}","{""https://images.unsplash.com/photo-1460925895917-afdab827c52f"",""https://images.unsplash.com/photo-1557804506-669a67965ba0""}",0.045,"{""marketing"",""digital"",""bootcamp"",""training"",""business""}",Business & Professional,2025-11-29T09:00:00Z,360
Acoustic Music Session,Intimate acoustic performances by local musicians. Coffee bar and relaxed atmosphere.,"{""address"": ""Brew Bistro - Fortis Tower"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Brew Bistro Westlands"", ""latitude"": -1.2653, ""longitude"": 36.8082}","{""https://images.unsplash.com/photo-1511192336575-5a79af67a629"",""https://images.unsplash.com/photo-1415201364774-f6f0bb35f28f""}",0.08,"{""acoustic"",""music"",""coffee"",""live"",""intimate""}",Music,2025-11-13T19:00:00Z,120
Charity Run for Education,5km and 10km runs to raise funds for children's education. T-shirt and medal for all participants.,"{""address"": ""Karura Forest"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Karura Forest Main Gate"", ""latitude"": -1.2363, ""longitude"": 36.8456}","{""https://images.unsplash.com/photo-1452626038306-9aae5e071dd3"",""https://images.unsplash.com/photo-1472147676280-34f1735c0b4f""}",0.012,"{""charity"",""running"",""education"",""community"",""fitness""}",Community & Charity,2025-12-07T07:00:00Z,120
Painting Workshop: Watercolors,Beginner-friendly watercolor painting class. All materials provided. Create your own masterpiece.,"{""address"": ""Kuona Trust Art Centre"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Kuona Trust"", ""latitude"": -1.2923, ""longitude"": 36.8334}","{""https://images.unsplash.com/photo-1460661419201-fd4cecdf8a8b"",""https://images.unsplash.com/photo-1579783902614-a3fb3927b6a5""}",0.018,"{""painting"",""art"",""watercolor"",""workshop"",""creative""}",Arts & Culture,2025-11-26T10:00:00Z,180
Investment and Finance Seminar,Learn about stocks bonds and investment strategies. Q&A with financial advisors.,"{""address"": ""Kenyatta International Convention Centre"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""KICC"", ""latitude"": -1.2921, ""longitude"": 36.8219}","{""https://images.unsplash.com/photo-1454165804606-c3d57bc86b40"",""https://images.unsplash.com/photo-1559526324-593bc073d938""}",0.02,"{""finance"",""investment"",""seminar"",""money"",""education""}",Business & Professional,2025-12-11T14:00:00Z,180
Outdoor Movie Night,Classic movie screening under the stars. Bring blankets and picnic baskets. Popcorn available.,"{""address"": ""Uhuru Park"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Uhuru Park"", ""latitude"": -1.2847, ""longitude"": 36.816}","{""https://images.unsplash.com/photo-1489599849927-2ee91cede3ba"",""https://images.unsplash.com/photo-1517604931442-7e0c8ed2963c""}",0.07,"{""movies"",""outdoor"",""film"",""family"",""entertainment""}",Entertainment,2025-11-17T18:30:00Z,150
Cycling Tour: Nairobi Heritage,Guided cycling tour through historical sites of Nairobi. Moderate fitness level required.,"{""address"": ""Railways Museum"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Nairobi Railway Museum"", ""latitude"": -1.2845, ""longitude"": 36.8282}","{""https://images.unsplash.com/photo-1471506480208-91b3a4cc0ba6"",""https://images.unsplash.com/photo-1559827260-dc66d52bef19""}",0.016,"{""cycling"",""tour"",""heritage"",""outdoor"",""history""}",Sports & Fitness,2025-12-09T08:00:00Z,180
Poetry Open Mic Night,Share your poetry or listen to local poets. Welcoming creative space for all.,"{""address"": ""Goethe Institut"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Goethe-Institut Nairobi"", ""latitude"": -1.2786, ""longitude"": 36.8114}","{""https://images.unsplash.com/photo-1455390582262-044cdead277a"",""https://images.unsplash.com/photo-1481627834876-b7833e8f5570""}",0.05,"{""poetry"",""art"",""spoken-word"",""open-mic"",""culture""}",Arts & Culture,2025-11-20T18:30:00Z,120
BBQ and Live Band Weekend,Outdoor barbecue with live band performance. Family-friendly event with games and activities.,"{""address"": ""Nairobi Java House - Karen"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Java Karen"", ""latitude"": -1.3224, ""longitude"": 36.7081}","{""https://images.unsplash.com/photo-1555939594-58d7cb561ad1"",""https://images.unsplash.com/photo-1484976063837-eab657a7aca7""}",0.025,"{""bbq"",""music"",""family"",""outdoor"",""food""}",Food & Drink,2025-11-11T12:00:00Z,240
Mobile App Development Workshop,Build your first mobile app in this hands-on coding workshop. No experience required.,"{""address"": ""Moringa School"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Moringa School Ngong Road"", ""latitude"": -1.3009, ""longitude"": 36.7821}","{""https://images.unsplash.com/photo-1551650975-87deedd944c3"",""https://images.unsplash.com/photo-1461749280684-dccba630e2f6""}",0.03,"{""coding"",""app-development"",""technology"",""workshop"",""programming""}",Technology,2025-12-13T10:00:00Z,300
Kenyan Coffee Tasting Experience,Sample specialty Kenyan coffees and learn about coffee production. Expert barista demonstrations.,"{""address"": ""Artcaffe - The Junction"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""The Junction Mall"", ""latitude"": -1.2633, ""longitude"": 36.7729}","{""https://images.unsplash.com/photo-1511920170033-f8396924c348"",""https://images.unsplash.com/photo-1497935586351-b67a49e012bf""}",0.015,"{""coffee"",""tasting"",""culture"",""food"",""education""}",Food & Drink,2025-11-25T11:00:00Z,90
Zumba Fitness Party,High-energy Zumba workout combining dance and fitness. Fun for all ages and fitness levels.,"{""address"": ""Prestige Plaza"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Prestige Plaza Ngong Road"", ""latitude"": -1.3061, ""longitude"": 36.7795}","{""https://images.unsplash.com/photo-1518611012118-696072aa579a"",""https://images.unsplash.com/photo-1571902943202-507ec2618e8f""}",0.01,"{""zumba"",""fitness"",""dance"",""workout"",""fun""}",Sports & Fitness,2025-11-22T17:00:00Z,60
Entrepreneurship Panel Discussion,Successful entrepreneurs share their journeys and insights. Networking opportunity after panel.,"{""address"": ""Strathmore Business School"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Strathmore University"", ""latitude"": -1.3114, ""longitude"": 36.8102}","{""https://images.unsplash.com/photo-1559136555-9303baea8ebd"",""https://images.unsplash.com/photo-1515187029135-18ee286d815b""}",0,"{""entrepreneurship"",""business"",""panel"",""networking"",""free""}",Business & Professional,2025-12-04T15:00:00Z,150
Sunset Rooftop Yoga,Yoga session with panoramic city views at sunset. Bring your own mat. Refreshments provided.,"{""address"": ""Villa Rosa Kempinski"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Villa Rosa Kempinski Rooftop"", ""latitude"": -1.2629, ""longitude"": 36.8073}","{""https://images.unsplash.com/photo-1506126613408-eca07ce68773"",""https://images.unsplash.com/photo-1588286840104-8957b019727f""}",0.02,"{""yoga"",""sunset"",""wellness"",""rooftop"",""relaxation""}",Health & Wellness,2025-11-28T17:30:00Z,90
Traditional Kenyan Cooking Class,Learn to prepare authentic Kenyan dishes. Hands-on cooking followed by communal meal.,"{""address"": ""Karen Blixen Museum"", ""city"": ""Nairobi"", ""country"": ""Kenya"", ""title"": ""Karen Blixen Museum"", ""latitude"": -1.3586, ""longitude"": 36.7061}","{""https://images.unsplash.com/photo-1556910103-1c02745aae4d"",""https://images.unsplash.com/photo-1466637574441-749b8f19452f""}",0.028,"{""cooking"",""kenyan"",""culture"",""food"",""traditional""}",Food & Drink,2025-12-15T10:00:00Z,210
